query_id,group,row_count,hit_count,selectivity
116,x6x8,500000,1415,0.00283
117,x6x8,500000,544,0.001088
118,x6x8,500000,192,0.000384
119,x6x8,500000,171,0.000342
120,x6x8,500000,6086,0.012172
121,x6x8,500000,1237,0.002474
122,x6x8,500000,188,0.000376
123,x6x8,500000,1678,0.003356
124,x6x8,500000,2262,0.004524
125,x6x8,500000,4663,0.009326
126,x6x8,500000,2072,0.004144
127,x6x8,500000,11821,0.023642
128,x6x8,500000,7745,0.01549
129,x6x8,500000,897,0.001794
130,x6x8,500000,7983,0.015966
131,x6x8,500000,241,0.000482
132,x6x8,500000,1459,0.002918
133,x6x8,500000,6157,0.012314
134,x6x8,500000,1819,0.003638
135,x6x8,500000,5234,0.010468
136,x6x8,500000,6569,0.013138
137,x6x8,500000,61,0.000122
138,x6x8,500000,202,0.000404
139,x6x8,500000,2457,0.004914
140,x6x8,500000,5508,0.011016
141,x6x8,500000,6085,0.01217
142,x6x8,500000,1206,0.002412
143,x6x8,500000,11015,0.02203
144,x6x8,500000,10,2e-05
145,x6x8,500000,1165,0.00233
146,x6x8,500000,434,0.000868
147,x6x8,500000,1697,0.003394
148,x6x8,500000,6130,0.01226
149,x6x8,500000,3417,0.006834
150,x6x8,500000,20,4e-05
151,x6x8,500000,2137,0.004274
152,x6x8,500000,3037,0.006074
153,x6x8,500000,526,0.001052
154,x6x8,500000,1406,0.002812
155,x6x8,500000,7833,0.015666
156,x6x8,500000,6826,0.013652
157,x6x8,500000,6566,0.013132
158,x6x8,500000,1439,0.002878
159,x6x8,500000,141,0.000282
160,x6x8,500000,4,8e-06
161,x6x8,500000,539,0.001078
162,x6x8,500000,8993,0.017986
163,x6x8,500000,5177,0.010354
164,x6x8,500000,141,0.000282
165,x6x8,500000,3928,0.007856
166,x6x8,500000,2558,0.005116
167,x6x8,500000,10912,0.021824
168,x6x8,500000,3500,0.007
169,x6x8,500000,11920,0.02384
170,x6x8,500000,4846,0.009692
171,x6x8,500000,416,0.000832
172,x6x8,500000,23,4.6e-05
173,x6x8,500000,1918,0.003836
174,x6x8,500000,1947,0.003894
175,x6x8,500000,5576,0.011152
176,x6x8,500000,4394,0.008788
177,x6x8,500000,2997,0.005994
178,x6x8,500000,435,0.00087
179,x6x8,500000,213,0.000426
180,x6x8,500000,4103,0.008206
181,x6x8,500000,5671,0.011342
182,x6x8,500000,2383,0.004766
183,x6x8,500000,4154,0.008308
184,x6x8,500000,8,1.6e-05
185,x6x8,500000,12068,0.024136
186,x6x8,500000,4163,0.008326
187,x6x8,500000,1963,0.003926
188,x6x8,500000,621,0.001242
189,x6x8,500000,3282,0.006564
190,x6x8,500000,4102,0.008204
191,x6x8,500000,11874,0.023748
192,x6x8,500000,124,0.000248
193,x6x8,500000,10723,0.021446
194,x6x8,500000,2151,0.004302
195,x6x8,500000,7113,0.014226
196,x6x8,500000,4682,0.009364
197,x6x8,500000,5087,0.010174
198,x6x8,500000,1592,0.003184
199,x6x8,500000,9250,0.0185
200,x6x8,500000,2753,0.005506
201,x6x8,500000,1249,0.002498
202,x6x8,500000,257,0.000514
203,x6x8,500000,5575,0.01115
204,x6x8,500000,5,1e-05
205,x6x8,500000,803,0.001606
206,x6x8,500000,3339,0.006678
207,x6x8,500000,8055,0.01611
208,x6x8,500000,683,0.001366
209,x6x8,500000,12470,0.02494
210,x6x8,500000,667,0.001334
211,x6x8,500000,3478,0.006956
212,x6x8,500000,865,0.00173
213,x6x8,500000,4025,0.00805
214,x6x8,500000,10586,0.021172
215,x6x8,500000,4353,0.008706
216,x6x8,500000,6187,0.012374
217,x6x8,500000,14726,0.029452
218,x6x8,500000,13043,0.026086
219,x6x8,500000,1012,0.002024
220,x6x8,500000,6391,0.012782
221,x6x8,500000,3396,0.006792
222,x6x8,500000,2338,0.004676
223,x6x8,500000,9,1.8e-05
224,x6x8,500000,740,0.00148
225,x6x8,500000,232,0.000464
226,x6x8,500000,134,0.000268
227,x6x8,500000,3162,0.006324
